year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,2,7,2054,2040,14,10,2344,26,B6,629,N258JB,JFK,HOU,214,1428,20,40,2013-02-08T01:00:00Z
2013,8,11,1711,1710,1,1940,1927,13,UA,485,N412UA,EWR,DEN,223,1605,17,10,2013-08-11T21:00:00Z
2013,7,13,703,700,3,922,951,-29,B6,23,N709JB,JFK,LAX,293,2475,7,0,2013-07-13T11:00:00Z
2013,4,15,1941,1944,-3,2304,2255,9,UA,768,N558UA,EWR,LAX,344,2454,19,44,2013-04-15T23:00:00Z
2013,4,15,716,720,-4,955,944,11,EV,4137,N11155,EWR,ATL,119,746,7,20,2013-04-15T11:00:00Z
2013,2,5,1550,1550,0,1806,1826,-20,9E,3427,N937XJ,JFK,IND,116,665,15,50,2013-02-05T20:00:00Z
2013,10,7,1209,1215,-6,1415,1405,10,MQ,3616,N506MQ,LGA,MSP,142,1020,12,15,2013-10-07T16:00:00Z
2013,2,13,1713,1715,-2,2011,2040,-29,DL,503,N3764D,JFK,SAN,336,2446,17,15,2013-02-13T22:00:00Z
2013,5,27,954,1000,-6,1150,1134,16,UA,775,N457UA,EWR,ORD,116,719,10,0,2013-05-27T14:00:00Z
2013,10,14,1450,1450,0,1723,1745,-22,UA,370,N422UA,EWR,MCO,121,937,14,50,2013-10-14T18:00:00Z
2013,10,20,724,725,-1,1000,950,10,UA,1444,N54711,EWR,MSY,193,1167,7,25,2013-10-20T11:00:00Z
2013,3,18,1647,1646,1,1828,1825,3,UA,1683,N77430,EWR,CLE,68,404,16,46,2013-03-18T20:00:00Z
2013,1,8,700,700,0,929,920,9,EV,4172,N12567,EWR,SDF,112,642,7,0,2013-01-08T12:00:00Z
2013,10,21,1724,1729,-5,1944,1937,7,EV,3849,N16951,EWR,CVG,113,569,17,29,2013-10-21T21:00:00Z
2013,1,28,1849,1845,4,2137,2221,-44,DL,2190,N374NW,JFK,MIA,150,1089,18,45,2013-01-28T23:00:00Z
2013,4,11,1026,1030,-4,1246,1309,-23,DL,1529,N379DA,JFK,LAS,300,2248,10,30,2013-04-11T14:00:00Z
2013,2,5,1729,1705,24,1910,1905,5,WN,440,N920WN,EWR,STL,135,872,17,5,2013-02-05T22:00:00Z
2013,10,9,627,620,7,732,740,-8,WN,423,N8324A,LGA,MDW,110,725,6,20,2013-10-09T10:00:00Z
2013,9,30,1048,1100,-12,1215,1215,0,US,2144,N951UW,LGA,BOS,36,184,11,0,2013-09-30T15:00:00Z
2013,8,9,757,800,-3,1011,1005,6,DL,2119,N903DE,LGA,MSP,156,1020,8,0,2013-08-09T12:00:00Z
2013,6,8,757,805,-8,1101,1100,1,DL,2395,N374NW,LGA,PBI,164,1035,8,5,2013-06-08T12:00:00Z
2013,3,18,1235,1241,-6,1554,1550,4,UA,749,N445UA,LGA,IAH,219,1416,12,41,2013-03-18T16:00:00Z
2013,1,17,1725,1725,0,2034,2017,17,UA,1109,N12116,EWR,MCO,157,937,17,25,2013-01-17T22:00:00Z
2013,9,6,700,700,0,1004,949,15,B6,683,N709JB,JFK,MCO,137,944,7,0,2013-09-06T11:00:00Z
2013,5,18,536,540,-4,820,840,-20,AA,701,N631AA,JFK,MIA,142,1089,5,40,2013-05-18T09:00:00Z
2013,1,20,1958,1920,38,2341,2251,50,UA,1482,N27421,EWR,SFO,382,2565,19,20,2013-01-21T00:00:00Z
2013,3,7,930,925,5,1231,1205,26,WN,102,N736SA,EWR,DEN,234,1605,9,25,2013-03-07T14:00:00Z
2013,4,29,2039,2018,21,1,2326,35,UA,1241,N39726,EWR,TPA,165,997,20,18,2013-04-30T00:00:00Z
2013,3,29,926,935,-9,1155,1230,-35,VX,251,N847VA,JFK,LAS,312,2248,9,35,2013-03-29T13:00:00Z
2013,10,5,710,715,-5,1014,1010,4,VX,399,N840VA,JFK,LAX,329,2475,7,15,2013-10-05T11:00:00Z
2013,2,28,1907,1910,-3,2153,2232,-39,DL,2159,N381DN,JFK,MCO,143,944,19,10,2013-03-01T00:00:00Z
2013,10,23,855,900,-5,1142,1157,-15,B6,63,N712JB,JFK,SEA,320,2422,9,0,2013-10-23T13:00:00Z
2013,1,22,755,800,-5,1139,1124,15,DL,2143,N352NW,JFK,MIA,172,1089,8,0,2013-01-22T13:00:00Z
2013,4,24,800,800,0,958,959,-1,B6,219,N304JB,JFK,CLT,83,541,8,0,2013-04-24T12:00:00Z
2013,8,9,1219,1200,19,1523,1507,16,UA,580,N508UA,JFK,SFO,334,2586,12,0,2013-08-09T16:00:00Z
2013,11,21,1533,1529,4,1700,1654,6,EV,4580,N14923,EWR,MKE,127,725,15,29,2013-11-21T20:00:00Z
2013,7,27,813,815,-2,1003,1012,-9,EV,4295,N16149,EWR,AVL,91,583,8,15,2013-07-27T12:00:00Z
2013,7,13,1814,1819,-5,2141,2118,23,B6,153,N592JB,JFK,PBI,134,1028,18,19,2013-07-13T22:00:00Z
2013,5,15,925,938,-13,1143,1204,-21,9E,4065,N833AY,LGA,SDF,99,659,9,38,2013-05-15T13:00:00Z
2013,4,18,1258,1110,108,1419,1235,104,WN,137,N213WN,LGA,MDW,115,725,11,10,2013-04-18T15:00:00Z
2013,10,1,606,610,-4,719,724,-5,EV,6177,N15986,EWR,IAD,46,212,6,10,2013-10-01T10:00:00Z
2013,5,20,1732,1735,-3,2030,2105,-35,AA,543,N5FTAA,JFK,MIA,149,1089,17,35,2013-05-20T21:00:00Z
2013,5,19,1500,1455,5,1640,1640,0,MQ,4172,N653MQ,JFK,CLE,71,425,14,55,2013-05-19T18:00:00Z
2013,10,20,745,750,-5,1048,1040,8,MQ,3052,N525MQ,JFK,TPA,163,1005,7,50,2013-10-20T11:00:00Z
2013,10,21,1824,1830,-6,2022,2041,-19,EV,5268,N717EV,LGA,CLT,89,544,18,30,2013-10-21T22:00:00Z
2013,3,20,1056,1100,-4,1203,1209,-6,US,2124,N953UW,LGA,BOS,36,184,11,0,2013-03-20T15:00:00Z
2013,1,21,1907,1859,8,2222,2225,-3,B6,171,N659JB,JFK,SMF,352,2521,18,59,2013-01-21T23:00:00Z
2013,8,18,614,615,-1,921,910,11,AA,1895,N3AJAA,EWR,MIA,160,1085,6,15,2013-08-18T10:00:00Z
2013,2,24,1533,1449,44,1836,1744,52,B6,393,N579JB,LGA,MCO,144,950,14,49,2013-02-24T19:00:00Z
2013,8,10,1825,1828,-3,2036,2031,5,US,2039,N439US,EWR,CLT,98,529,18,28,2013-08-10T22:00:00Z
2013,4,14,1840,1829,11,2126,2101,25,UA,1214,N15710,EWR,DEN,233,1605,18,29,2013-04-14T22:00:00Z
2013,8,31,806,805,1,935,949,-14,9E,3611,N8918B,JFK,PIT,62,340,8,5,2013-08-31T12:00:00Z
2013,11,16,1858,1901,-3,2251,2240,11,DL,245,N3752,JFK,PHX,322,2153,19,1,2013-11-17T00:00:00Z
2013,1,3,1357,1350,7,1550,1545,5,MQ,4577,N516MQ,LGA,CLT,92,544,13,50,2013-01-03T18:00:00Z
2013,10,7,1651,1620,31,2033,1940,53,AA,1410,N5DVAA,LGA,MIA,183,1096,16,20,2013-10-07T20:00:00Z
2013,4,19,632,633,-1,856,925,-29,UA,761,N426UA,EWR,MCO,124,937,6,33,2013-04-19T10:00:00Z
2013,1,13,909,915,-6,1104,1101,3,B6,1103,N192JB,JFK,RDU,69,427,9,15,2013-01-13T14:00:00Z
2013,11,30,850,836,14,951,953,-2,B6,2280,N198JB,EWR,BOS,35,200,8,36,2013-11-30T13:00:00Z
2013,4,9,1256,1300,-4,1407,1425,-18,WN,3295,N942WN,EWR,BNA,109,748,13,0,2013-04-09T17:00:00Z
2013,11,5,1936,1932,4,2210,2234,-24,UA,1225,N73445,EWR,PBI,133,1023,19,32,2013-11-06T00:00:00Z
2013,10,17,1748,1700,48,2054,2017,37,UA,512,N419UA,JFK,SFO,338,2586,17,0,2013-10-17T21:00:00Z
2013,9,22,656,700,-4,1010,1019,-9,DL,269,N624AG,JFK,SFO,336,2586,7,0,2013-09-22T11:00:00Z
2013,9,29,1821,1835,-14,2149,2148,1,AS,5,N532AS,EWR,SEA,345,2402,18,35,2013-09-29T22:00:00Z
2013,11,19,1443,1446,-3,1631,1644,-13,EV,4175,N15555,EWR,AVL,86,583,14,46,2013-11-19T19:00:00Z
2013,12,2,1923,1858,25,2222,2150,32,B6,711,N621JB,JFK,LAS,324,2248,18,58,2013-12-02T23:00:00Z
2013,7,21,2041,2001,40,2340,2254,46,B6,1083,N613JB,JFK,MCO,133,944,20,1,2013-07-22T00:00:00Z
2013,3,15,954,1000,-6,1327,1334,-7,DL,1765,N721TW,JFK,SFO,366,2586,10,0,2013-03-15T14:00:00Z
2013,7,7,1153,1200,-7,1246,1309,-23,US,2126,N945UW,LGA,BOS,40,184,12,0,2013-07-07T16:00:00Z
2013,8,11,740,740,0,1118,1055,23,VX,11,N835VA,JFK,SFO,374,2586,7,40,2013-08-11T11:00:00Z
2013,4,24,NA,1708,NA,NA,1910,NA,EV,5676,N14168,EWR,MSP,NA,1008,17,8,2013-04-24T21:00:00Z
2013,1,15,630,634,-4,908,849,19,EV,4471,N27152,EWR,CLT,104,529,6,34,2013-01-15T11:00:00Z
2013,3,21,845,850,-5,1146,1207,-21,B6,1061,N183JB,JFK,AUS,218,1521,8,50,2013-03-21T12:00:00Z
2013,1,5,859,900,-1,1122,1135,-13,DL,485,N305DQ,EWR,ATL,120,746,9,0,2013-01-05T14:00:00Z
2013,10,18,629,630,-1,755,753,2,B6,905,N534JB,JFK,ORD,127,740,6,30,2013-10-18T10:00:00Z
2013,10,31,1931,1930,1,2216,2233,-17,UA,1416,N39415,EWR,TPA,137,997,19,30,2013-10-31T23:00:00Z
2013,6,7,1444,1450,-6,1633,1652,-19,US,1543,N540UW,LGA,CLT,78,544,14,50,2013-06-07T18:00:00Z
2013,5,3,1925,1815,70,2115,2039,36,9E,3285,N926XJ,JFK,DTW,80,509,18,15,2013-05-03T22:00:00Z
2013,8,6,658,710,-12,921,915,6,MQ,3547,N738MQ,LGA,XNA,169,1147,7,10,2013-08-06T11:00:00Z
2013,8,7,907,700,127,1204,930,154,DL,1547,N676DL,LGA,ATL,135,762,7,0,2013-08-07T11:00:00Z
2013,4,4,742,749,-7,928,1020,-52,UA,495,N578UA,LGA,DEN,209,1620,7,49,2013-04-04T11:00:00Z
2013,5,21,2352,2359,-7,323,341,-18,B6,727,N804JB,JFK,BQN,193,1576,23,59,2013-05-22T03:00:00Z
2013,3,18,657,655,2,917,915,2,EV,4122,N26545,EWR,SDF,116,642,6,55,2013-03-18T10:00:00Z
2013,5,10,1157,1200,-3,1338,1354,-16,US,1089,N126UW,JFK,CLT,79,541,12,0,2013-05-10T16:00:00Z
2013,5,13,740,745,-5,955,1004,-9,DL,807,N371NB,EWR,ATL,111,746,7,45,2013-05-13T11:00:00Z
2013,6,12,800,751,9,921,921,0,UA,1492,N38446,EWR,ORD,115,719,7,51,2013-06-12T11:00:00Z
2013,7,11,1825,1825,0,2144,2121,23,UA,1165,N57864,EWR,LAX,308,2454,18,25,2013-07-11T22:00:00Z
2013,5,31,756,800,-4,1036,1025,11,UA,561,N520UA,LGA,DEN,258,1620,8,0,2013-05-31T12:00:00Z
2013,4,8,624,630,-6,822,820,2,MQ,4599,N524MQ,LGA,MSP,165,1020,6,30,2013-04-08T10:00:00Z
2013,4,19,647,650,-3,943,945,-2,AA,711,N3ERAA,LGA,DFW,217,1389,6,50,2013-04-19T10:00:00Z
2013,11,14,1611,1615,-4,1830,1856,-26,DL,843,N964DL,JFK,ATL,120,760,16,15,2013-11-14T21:00:00Z
2013,3,4,816,816,0,1138,1146,-8,UA,1480,N13248,EWR,SFO,361,2565,8,16,2013-03-04T13:00:00Z
2013,5,4,2108,1940,88,2220,2100,80,EV,5714,N832AS,JFK,IAD,39,228,19,40,2013-05-04T23:00:00Z
2013,12,12,820,829,-9,1107,1055,12,EV,4419,N14171,EWR,XNA,176,1131,8,29,2013-12-12T13:00:00Z
2013,8,10,2001,2001,0,2326,2305,21,VX,415,N631VA,JFK,LAX,340,2475,20,1,2013-08-11T00:00:00Z
2013,3,24,1700,1705,-5,1950,2010,-20,AA,1905,N518AA,EWR,DFW,205,1372,17,5,2013-03-24T21:00:00Z
2013,12,31,1129,1125,4,1225,1241,-16,EV,5288,N713EV,LGA,MHT,34,195,11,25,2013-12-31T16:00:00Z
2013,5,28,1207,1210,-3,1443,1510,-27,AA,743,N3KDAA,LGA,DFW,183,1389,12,10,2013-05-28T16:00:00Z
2013,1,15,554,600,-6,914,837,37,DL,461,N900PC,LGA,ATL,134,762,6,0,2013-01-15T11:00:00Z
2013,7,10,1253,1255,-2,1607,1606,1,UA,1700,N37456,EWR,SFO,345,2565,12,55,2013-07-10T16:00:00Z
2013,9,15,1500,1505,-5,1801,1830,-29,AA,145,N5FHAA,JFK,MIA,141,1089,15,5,2013-09-15T19:00:00Z
2013,7,8,NA,905,NA,NA,1114,NA,DL,181,N862DA,LGA,DTW,NA,502,9,5,2013-07-08T13:00:00Z
2013,6,15,1330,1336,-6,1526,1541,-15,EV,4395,N13964,EWR,IND,94,645,13,36,2013-06-15T17:00:00Z
2013,3,2,1723,1735,-12,1840,1904,-24,EV,5472,N371CA,LGA,ORF,55,296,17,35,2013-03-02T22:00:00Z
2013,5,13,1548,1555,-7,1702,1715,-13,MQ,4622,N542MQ,LGA,BNA,105,764,15,55,2013-05-13T19:00:00Z
2013,2,26,1120,1120,0,1516,1422,54,B6,1,N645JB,JFK,FLL,204,1069,11,20,2013-02-26T16:00:00Z
2013,9,14,1115,1111,4,1311,1335,-24,UA,1139,N33714,LGA,DEN,212,1620,11,11,2013-09-14T15:00:00Z
2013,6,2,1730,1735,-5,2025,2105,-40,AA,543,N5FJAA,JFK,MIA,137,1089,17,35,2013-06-02T21:00:00Z
2013,8,19,1241,1245,-4,1502,1535,-33,AA,745,N3FPAA,LGA,DFW,185,1389,12,45,2013-08-19T16:00:00Z
2013,11,14,1001,933,28,1103,1045,18,UA,384,N484UA,EWR,BOS,42,200,9,33,2013-11-14T14:00:00Z
2013,4,1,628,630,-2,1005,945,20,UA,797,N512UA,JFK,LAX,364,2475,6,30,2013-04-01T10:00:00Z
2013,2,11,627,630,-3,831,843,-12,US,1433,N167US,LGA,CLT,97,544,6,30,2013-02-11T11:00:00Z
2013,11,19,944,953,-9,1232,1256,-24,B6,5,N646JB,EWR,FLL,144,1065,9,53,2013-11-19T14:00:00Z
2013,6,5,2024,2032,-8,2125,2146,-21,B6,1178,N258JB,EWR,BOS,43,200,20,32,2013-06-06T00:00:00Z
2013,9,15,1932,1935,-3,2213,2229,-16,B6,225,N508JB,JFK,TPA,134,1005,19,35,2013-09-15T23:00:00Z
2013,7,27,1101,1110,-9,1356,1407,-11,B6,1129,N637JB,JFK,RSW,150,1074,11,10,2013-07-27T15:00:00Z
2013,5,20,1520,1515,5,1744,1758,-14,UA,1576,N38403,EWR,IAH,183,1400,15,15,2013-05-20T19:00:00Z
2013,11,13,1155,1200,-5,1414,1455,-41,AA,3,N339AA,JFK,LAX,296,2475,12,0,2013-11-13T17:00:00Z
2013,9,21,2048,1735,193,2333,2055,158,AA,2351,N351AA,JFK,MIA,131,1089,17,35,2013-09-21T21:00:00Z
2013,9,5,1501,1505,-4,1805,1830,-25,AA,145,N5FGAA,JFK,MIA,142,1089,15,5,2013-09-05T19:00:00Z
2013,4,18,1310,1250,20,1658,1540,78,AA,745,N3JPAA,LGA,DFW,224,1389,12,50,2013-04-18T16:00:00Z
2013,9,20,924,929,-5,1200,1222,-22,UA,497,N575UA,EWR,PBI,135,1023,9,29,2013-09-20T13:00:00Z
2013,4,18,933,840,53,1122,1014,68,9E,3432,N922XJ,JFK,DCA,45,213,8,40,2013-04-18T12:00:00Z
2013,11,17,27,2106,201,118,2213,185,B6,2680,N354JB,EWR,BOS,32,200,21,6,2013-11-18T02:00:00Z
2013,6,8,1954,2000,-6,2159,2230,-31,EV,4333,N17169,EWR,TUL,159,1215,20,0,2013-06-09T00:00:00Z
2013,1,20,1635,1627,8,1935,1919,16,UA,1262,N37437,EWR,MCO,151,937,16,27,2013-01-20T21:00:00Z
2013,10,2,2238,2245,-7,2346,2353,-7,B6,234,N337JB,JFK,BTV,47,266,22,45,2013-10-03T02:00:00Z
2013,2,28,827,829,-2,1106,1103,3,B6,611,N187JB,JFK,JAX,131,828,8,29,2013-02-28T13:00:00Z
2013,8,19,1028,1029,-1,1231,1223,8,EV,4255,N12157,EWR,CHS,96,628,10,29,2013-08-19T14:00:00Z
2013,11,22,2007,1845,82,2212,2040,92,MQ,3349,N1EAMQ,LGA,MSP,167,1020,18,45,2013-11-22T23:00:00Z
2013,10,9,951,959,-8,1101,1115,-14,EV,5711,N820AS,JFK,IAD,47,228,9,59,2013-10-09T13:00:00Z
2013,5,2,2031,2001,30,2246,2308,-22,B6,1505,N633JB,JFK,ABQ,236,1826,20,1,2013-05-03T00:00:00Z
2013,11,23,721,730,-9,1055,1055,0,VX,183,N837VA,EWR,SFO,377,2565,7,30,2013-11-23T12:00:00Z
2013,4,14,800,805,-5,1058,1105,-7,DL,1109,N918DL,LGA,TPA,155,1010,8,5,2013-04-14T12:00:00Z
2013,2,17,1238,1245,-7,1539,1600,-21,AA,2253,N3ESAA,LGA,MIA,153,1096,12,45,2013-02-17T17:00:00Z
2013,4,22,2252,2055,117,6,2225,101,WN,1731,N248WN,LGA,MDW,111,725,20,55,2013-04-23T00:00:00Z
2013,12,20,754,756,-2,952,959,-7,US,1733,N561UW,LGA,CLT,90,544,7,56,2013-12-20T12:00:00Z
2013,12,4,1853,1900,-7,2032,2035,-3,UA,693,N462UA,LGA,ORD,124,733,19,0,2013-12-05T00:00:00Z
2013,4,13,1352,1359,-7,1615,1629,-14,UA,407,N498UA,EWR,DEN,229,1605,13,59,2013-04-13T17:00:00Z
2013,9,28,2021,2035,-14,2121,2209,-48,9E,3857,N805AY,JFK,DCA,37,213,20,35,2013-09-29T00:00:00Z
2013,3,5,2051,2040,11,2146,2148,-2,B6,1178,N328JB,EWR,BOS,35,200,20,40,2013-03-06T01:00:00Z
2013,6,16,2007,1910,57,2131,2056,35,EV,5038,N760EV,LGA,BHM,119,866,19,10,2013-06-16T23:00:00Z
2013,7,28,1623,1620,3,2005,1902,63,DL,843,N177DN,JFK,ATL,123,760,16,20,2013-07-28T20:00:00Z
2013,8,24,2026,2035,-9,2131,2217,-46,9E,4127,N840AY,JFK,IAD,41,228,20,35,2013-08-25T00:00:00Z
2013,3,11,1253,1300,-7,1358,1406,-8,B6,1006,N249JB,JFK,BOS,47,187,13,0,2013-03-11T17:00:00Z
2013,7,6,1125,1135,-10,1348,1415,-27,UA,1686,N29124,EWR,MCO,126,937,11,35,2013-07-06T15:00:00Z
2013,5,16,1015,900,75,1240,1128,72,EV,4388,N16954,EWR,JAX,116,820,9,0,2013-05-16T13:00:00Z
2013,1,9,2117,2125,-8,2228,2250,-22,MQ,4660,N515MQ,LGA,BNA,118,764,21,25,2013-01-10T02:00:00Z
2013,4,24,653,700,-7,1015,1044,-29,DL,1865,N624AG,JFK,SFO,355,2586,7,0,2013-04-24T11:00:00Z
2013,4,30,651,655,-4,816,820,-4,WN,404,N964WN,LGA,MKE,123,738,6,55,2013-04-30T10:00:00Z
2013,8,5,1601,1610,-9,1758,1800,-2,AA,343,N403AA,LGA,ORD,123,733,16,10,2013-08-05T20:00:00Z
